rank,model_id,model,vendor,cheapest_aggregator,aggregator_id,usd_per_min_480p,usd_per_min_720p,resolution_basis,max_clip_seconds,audio,sale_or_discount,sale_ends,runner_up_aggregator,runner_up_usd_per_min_720p,most_expensive_usd_per_min_720p,savings_pct_vs_most_expensive,aggregators_quoting,endpoint_id,api_base_url,api_docs_url,model_page_url,verified_by_two_checkers,checked_at,confidence
1,h3turbo,MiniMax H3 Max Turbo,MiniMax,fal.ai,fal,0.375,0.6,768p,15,Included,75% launch sale,2026-09-14,Atlas Cloud,2.28,2.4,75,3,minimax/h3-max-turbo/image-to-video,https://queue.fal.run,https://docs.fal.ai/,https://fal.ai/minimax-h3-max,yes,2026-09-13,high
2,vidu,Vidu Q2 Pro Fast,Vidu (Shengshu),Atlas Cloud,atlas,,0.663,720p,10,Off,15% vs official,,WaveSpeedAI,0.825,0.825,19.6,2,vidu/q2-pro-fast/image-to-video,https://api.atlascloud.ai/api/v1,https://www.atlascloud.ai/docs,https://www.atlascloud.ai/pricing/models,yes,2026-09-13,high
3,seed15,Seedance 1.5 Pro Fast,ByteDance,Atlas Cloud,atlas,0.4985,1.08,720p,12,Check setting,10% vs official,,WaveSpeedAI,2.4,2.4,55,2,bytedance/seedance-v1.5-pro/text-to-video-fast,https://api.atlascloud.ai/api/v1,https://www.atlascloud.ai/docs,https://www.atlascloud.ai/pricing/models,yes,2026-09-13,medium
4,kielite,Veo 3.1 — Kie Lite mode,Google (Kie.ai tier),Kie.ai,kie,,1.125,720p,8,May vary,,,,,1.125,0,1,veo-3-1 (model=lite),https://api.kie.ai/api/v1,https://docs.kie.ai,https://kie.ai/veo-3-1,yes,2026-09-13,high
5,h3max,MiniMax H3 Max,MiniMax,fal.ai,fal,0.75,1.2,768p,15,Included,75% launch sale,2026-09-14,Runware,4.8,4.8,75,2,minimax/h3-max/image-to-video,https://queue.fal.run,https://docs.fal.ai/,https://fal.ai/minimax-h3-max,yes,2026-09-13,high
6,mini,Seedance 2.0 Mini,ByteDance,Atlas Cloud,atlas,0.675,1.452,720p,15,Included,80% off Atlas list; 68% below official,,Kie.ai,2.46,9.282,84.4,8,bytedance/seedance-2.0-mini/text-to-video,https://api.atlascloud.ai/api/v1,https://www.atlascloud.ai/docs,https://www.atlascloud.ai/models/explore/seedance-2-lowest-price,yes,2026-09-13,medium
7,wansilent,Wan 2.6 Flash (silent),Alibaba,Runware,runware,,1.5,720p,15,Off,,,fal.ai,1.5,3,50,5,alibaba:wan@2.6-flash,https://api.runware.ai/v1,https://runware.ai/docs,https://runware.ai/docs/models/alibaba-wan2-6-flash,no,2026-09-13,high
8,wanflash,Wan 2.6 Flash,Alibaba,Atlas Cloud,atlas,,2.1,720p,15,Included,30% vs official,,Runware,3,3,30,5,alibaba/wan-2.6/image-to-video-flash,https://api.atlascloud.ai/api/v1,https://www.atlascloud.ai/docs,https://www.atlascloud.ai/pricing/models,yes,2026-09-13,high
9,pixsilent,PixVerse V6 (silent),PixVerse,Kie.ai,kie,,2.16,720p,15,Off,≈20% below official PixVerse pricing,,Runware,2.7,5.4,60,6,pixverse-v6/text-to-video,https://api.kie.ai/api/v1,https://docs.kie.ai,https://kie.ai/pixverse-v6,yes,2026-09-13,high
10,veofast,Veo 3.1 Fast,Google,Kie.ai,kie,,2.25,720p,8,May vary,,,PiAPI,5.4,9,75,8,veo-3-1 (model=fast),https://api.kie.ai/api/v1,https://docs.kie.ai,https://kie.ai/veo-3-1,yes,2026-09-13,high
11,pix,PixVerse V6,PixVerse,Kie.ai,kie,,2.88,720p,15,Included,≈20% below official PixVerse pricing,,Atlas Cloud,3.6,7.2,60,6,pixverse-v6/text-to-video,https://api.kie.ai/api/v1,https://docs.kie.ai,https://kie.ai/pixverse-v6,yes,2026-09-13,high
12,grok,Grok Imagine 1.5 Developer,xAI (Atlas Developer tier),Atlas Cloud,atlas,1.68,2.94,720p,15,Check setting,65% vs official,,,,2.94,0,1,xai/grok-imagine-video-v1.5-developer/text-to-video,https://api.atlascloud.ai/api/v1,https://www.atlascloud.ai/docs,https://www.atlascloud.ai/pricing/models,yes,2026-09-13,high
13,veolite,Veo 3.1 Lite,Google,Atlas Cloud,atlas,,3,720p,8,Included,,,Runware,3,3,0,6,google/veo3.1-lite/text-to-video,https://api.atlascloud.ai/api/v1,https://www.atlascloud.ai/docs,https://www.atlascloud.ai/pricing/models,no,2026-09-13,high
14,wan3,Wan 3.0,Alibaba,Replicate,replicate,1.5,3,720p,30,Check setting,Live billing 50% below README list; page banner says 30% off this week,,Atlas Cloud,4.8,6,50,7,alibaba/wan-3,https://api.replicate.com/v1,https://replicate.com/docs/reference/http,https://replicate.com/alibaba/wan-3,yes,2026-09-13,high
15,fast,Seedance 2.0 Fast,ByteDance,Atlas Cloud,atlas,1.6199,3.486,720p,15,Included,70% off Atlas list; 52% below official,,OpenRouter,5.4432,14.514,76,8,bytedance/seedance-2.0-fast/text-to-video,https://api.atlascloud.ai/api/v1,https://www.atlascloud.ai/docs,https://www.atlascloud.ai/models/explore/seedance-2-lowest-price,yes,2026-09-13,medium
16,wan27,Wan 2.7,Alibaba,Kie.ai,kie,,4.8,720p,15,Check setting,,,Atlas Cloud,6,6,20,8,wan/2-7-image-to-video,https://api.kie.ai/api/v1,https://docs.kie.ai,https://kie.ai/wan-2-7-video,yes,2026-09-13,high
17,kling,Kling 3.0 Turbo,Kuaishou,Kie.ai,kie,,5.4,720p,15,Check setting,,,Atlas Cloud,5.712,6.72,19.6,3,kling/v3-turbo-text-to-video,https://api.kie.ai/api/v1,https://docs.kie.ai,https://kie.ai/kling-3-0-turbo,yes,2026-09-13,high
18,s25,Seedance 2.5,ByteDance,Runware,runware,6.15,13.824,720p,30,Included,,,OpenRouter,13.866,28.38,51.3,8,bytedance:seedance@2.5,https://api.runware.ai/v1,https://runware.ai/docs,https://runware.ai/seedance-2-5,yes,2026-09-13,medium
