quote_id,model_id,model,vendor,aggregator_id,aggregator,is_cheapest_for_model,ranked,usd_per_min_480p,usd_per_min_720p,usd_per_min_1080p,resolution_basis,usd_per_second_720p,fixed_usd_per_clip,clip_basis_seconds,max_clip_seconds,audio,audio_note,mode,raw_billing_text,promo_active,promo_kind,promo_label,promo_discount_pct,promo_ends_at,regular_usd_per_min_720p,endpoint_id,model_page_url,source_url,checked_at,method,confidence,verified_price,verified_comparability,needs_review,notes
grok@atlas,grok,Grok Imagine 1.5 Developer,xAI (Atlas Developer tier),atlas,Atlas Cloud,yes,yes,1.68,2.94,,720p,0.049,0,15,15,Check setting,Check setting,text-to-video / image-to-video / reference-to-video (same price),USD per output second,yes,standing,65% vs official,65,,8.4,xai/grok-imagine-video-v1.5-developer/text-to-video,https://www.atlascloud.ai/pricing/models,https://www.atlascloud.ai/pricing/models,2026-09-13,sheet+research,high,ok,ok,no,"Atlas Developer tier, kept separate from standard Grok 1.5 endpoints. Audio behavior and tier equivalence require checking before switching providers."
kling@kie,kling,Kling 3.0 Turbo,Kuaishou,kie,Kie.ai,yes,yes,,5.4,6.75,720p,0.09,0,,15,Check setting,no audio toggle in schema; page markets 'audio visual sync'; single rate,V3 Turbo text-to-video / image-to-video,"720P: 18 credits/s (≈$0.09), 1080P: 22.5 credits/s (≈$0.1125).",no,,,,,,kling/v3-turbo-text-to-video,https://kie.ai/kling-3-0-turbo,https://kie.ai/kling-3-0-turbo,2026-09-13,research,high,ok,ok,no,18 credits/s x $0.005 x 60. Duration 3-15 s. Same price for kling/v3-turbo-image-to-video.
kling@atlas,kling,Kling 3.0 Turbo,Kuaishou,atlas,Atlas Cloud,no,yes,,5.712,,720p,0.0952,0,15,15,Check setting,Check setting,text-to-video / image-to-video (same price),USD per output second,yes,standing,15% vs official,15,,6.72,kwaivgi/kling-v3.0-turbo/text-to-video,https://www.atlascloud.ai/pricing/models,https://www.atlascloud.ai/pricing/models,2026-09-13,sheet+research,high,,,no,"Exact Turbo tier, not Kling Standard/Pro. Audio setting not independently verified."
kling@runware,kling,Kling 3.0 Turbo,Kuaishou,runware,Runware,no,yes,,6.72,8.4,720p,0.112,0,15,15,Check setting,Check setting,text/image-to-video (multi-shot supported),USD per output second,no,,,,,,klingai:kling-video@3.0-turbo,https://runware.ai/docs/models/klingai-video-3-0-turbo,https://runware.ai/docs/models/klingai-video-3-0-turbo,2026-09-13,sheet+research,high,,,no,Same Turbo product name. Audio behavior should be verified for the intended workflow.
kling@piapi,kling,Kling 3.0 Turbo,Kuaishou,piapi,PiAPI,no,no,,7.8,,720p,0.13,0,,15,Off,OFF — 3.0-turbo does not support enable_audio (validation error if set) (only variant priced),"text-to-video / image-to-video, version 3.0-turbo, mode std","Pricing (USD per second): 3.0-turbo | 720p, no audio 0.13 | 720p, with audio N/A | 1080p, no audio 0.19 | 1080p, with audio N/A; /pricing: '3.0 Turbo STD $0.13/s', '3.0 Turbo PRO $0.19/s'",no,,,,,,"model=""kling"", task_type=""video_generation"", version=""3.0-turbo"", mode=""std""",https://piapi.ai/kling-3-0,https://piapi.ai/docs/kling-api/kling-3-api,2026-09-13,research,high,,,no,Only the audio-off variant is priced here; tracked spec wants audio on. Excluded from ranking. 
kling@fal,kling,Kling 3.0 Turbo,Kuaishou,fal,fal.ai,no,yes,,,8.4,720p,,0,,15,Check setting,flat rate (no generate_audio switch in schema),image-to-video,"For every second of video you generate, you will be charged $0.14. For example, a 5s video will cost $0.70.",no,,,,,,fal-ai/kling-video/v3/turbo/pro/image-to-video,https://fal.ai/models/fal-ai/kling-video/v3/turbo/pro/image-to-video,https://fal.ai/models/fal-ai/kling-video/v3/turbo/pro/image-to-video,2026-09-13,research,high,,,no,fal's only Kling 3.0 Turbo tier is 'Turbo Pro' and outputs 1080p ('Generate high quality 1080p videos ... Kling's Turbo 3.0 model'); no 720p Turbo variant found. Duration options 3-15 s.
h3max@fal,h3max,MiniMax H3 Max,MiniMax,fal,fal.ai,yes,yes,0.75,1.2,2.4,768p,0.02,0,15,15,Included,Included,image-to-video / text-to-video,USD per output second,yes,sale,75% launch sale,75,2026-09-14,4.8,minimax/h3-max/image-to-video,https://fal.ai/minimax-h3-max,https://fal.ai/minimax-h3-max,2026-09-13,sheet+research,high,ok,ok,no,768p replaces 720p. Regular 480p $0.05/s and 768p $0.08/s from Sep 15. Added higher-quality family variant; no project-specific quality test.
h3max@runware,h3max,MiniMax H3 Max,MiniMax,runware,Runware,no,yes,3,4.8,,768p,0.08,0,,15,Included,"included (audiovisual output, no toggle)",text/image-to-video,from $0.05 per second; Rates per second: 480p $0.05; 768p $0.08,no,,,,,,minimax:h3@max,https://runware.ai/docs/models/minimax-h3-max,https://runware.ai/docs/models/minimax-h3-max,2026-09-13,research,high,,,no,768p counts as the 720p column. $0.08/s x 60 = $4.80/min. Duration 5-15s; example '1344x768 10s $0.80'.
h3max@openrouter,h3max,MiniMax H3 Max,MiniMax,openrouter,OpenRouter,no,no,3,4.8,,768p,0.08,0,,15,Off,not exposed on OpenRouter (schema generate_audio:false; page does not mention an audio track) (only variant priced),text-to-video / image-to-video (first+last frame),"Video Output: $0.08/second; tiers 768p = $0.08, 480p = $0.05. FAQ: 'H3 Max costs from $0.05/second at 480p to $0.08/second at 768p.' /videos/models pricing_skus: duration_seconds_768p 0.08, duration_seconds_480p 0.05.",no,,,,,,minimax/hailuo-3-max,https://openrouter.ai/minimax/hailuo-3-max,https://openrouter.ai/minimax/hailuo-3-max,2026-09-13,research,high,,,no,Only the audio-off variant is priced here; tracked spec wants audio on. Excluded from ranking. 
h3max@atlas,h3max,MiniMax H3 Max,MiniMax,atlas,Atlas Cloud,no,yes,2.85,,,768p,,0,,15,Included,on (included),text-to-video / image-to-video,"calculate 15s 480P: origin_price 0.75, price 0.7125 -> $0.0475/s (official $0.05/s)",no,,,,,,minimax/h3-max/text-to-video,https://www.atlascloud.ai/models/minimax/h3-max/text-to-video,https://api.atlascloud.ai/api/v1/model/calculate,2026-09-13,research,medium,,,no,
